v,vw,o,c,h,l,t,n,timestamp
23931707.0,296.1317,297.55,296.99,298.54,294.08,1631505600000,309936,2021-09-13 04:00:00
22189292.0,299.9204,299.56,299.79,301.39,298.1,1631592000000,279350,2021-09-14 04:00:00
28728377.0,303.9982,303.26,304.82,305.32,301.82,1631678400000,351816,2021-09-15 04:00:00
19550815.0,303.5104,303.76,305.22,305.31,300.76,1631764800000,251476,2021-09-16 04:00:00
41372456.0,301.0029,304.17,299.87,304.5,299.53,1631851200000,330843,2021-09-17 04:00:00
38278661.0,293.8269,296.33,294.3,298.72,289.52,1632110400000,546438,2021-09-20 04:00:00
22364103.0,295.6193,295.69,294.8,297.54,294.07,1632196800000,297336,2021-09-21 04:00:00
26626342.0,298.1538,296.725,298.58,300.22,294.51,1632283200000,337059,2021-09-22 04:00:00
18604601.0,299.7428,298.845,299.56,300.9,297.5339,1632369600000,236240,2021-09-23 04:00:00
14998978.0,298.4973,298.23,299.35,299.8,296.93,1632456000000,218412,2021-09-24 04:00:00
23559276.0,294.4246,296.14,294.17,296.47,292.9449,1632715200000,328836,2021-09-27 04:00:00
43184837.0,285.4855,289.795,283.52,290.78,282.75,1632801600000,616437,2021-09-28 04:00:00
26353696.0,284.6546,285.1,284.0,286.77,283.01,1632888000000,358442,2021-09-29 04:00:00
32921298.0,283.9371,285.71,281.92,287.83,281.62,1632974400000,402930,2021-09-30 04:00:00
30086280.0,286.6369,282.1217,289.1,289.98,281.29,1633060800000,363793,2021-10-01 04:00:00
31333747.0,282.6776,287.4,283.11,287.75,280.25,1633320000000,455635,2021-10-04 04:00:00
24993024.0,288.1714,284.0464,288.76,290.398,284.0464,1633406400000,296311,2021-10-05 04:00:00
28002550.0,290.4564,285.78,293.11,293.63,285.5093,1633492800000,406529,2021-10-06 04:00:00
20430471.0,295.4481,295.175,294.85,296.64,293.92,1633579200000,282926,2021-10-07 04:00:00
17950627.0,295.1334,296.219,294.85,296.6409,293.76,1633665600000,253035,2021-10-08 04:00:00
19298634.0,295.5286,292.92,294.23,297.97,292.745,1633924800000,242967,2021-10-11 04:00:00
17885643.0,293.5962,295.34,292.88,295.44,292.35,1634011200000,266397,2021-10-12 04:00:00
23424025.0,295.4309,294.91,296.31,297.28,293.49,1634097600000,301391,2021-10-13 04:00:00
27254902.0,301.3498,299.21,302.75,303.27,297.83,1634184000000,305022,2021-10-14 04:00:00
24724803.0,302.7966,302.34,304.21,304.45,300.5191,1634270400000,275911,2021-10-15 04:00:00
22654296.0,305.8543,303.57,307.29,308.21,302.69,1634529600000,289612,2021-10-18 04:00:00
17682139.0,308.284,308.348,308.23,309.3,307.22,1634616000000,226293,2021-10-19 04:00:00
